tab 	measurements
analysts	aniso_s	aniso_type	citations	contribution_id	derived_value	description	dir_csd	dir_dec	dir_inc	display_order	experiment	external_database_ids	files	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	inversion_height	inversion_residuals	magn_b_111	magn_b_111_sigma	magn_b_x	magn_b_x_sigma	magn_b_xyz_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_induction	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x	magn_x_sigma	magn_xyz_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	meas_duration	meas_field_ac	meas_field_ac_phi	meas_field_ac_theta	meas_field_dc	meas_field_dc_phi	meas_field_dc_theta	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	result_type	row_id	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_step	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													20.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-3	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.622e-7	2.532e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													30.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-4	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.647e-7	2.995e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													30.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-5	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.565e-7	4.447e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													30.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-6	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.476e-7	5.731e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													40.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-7	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.620e-7	2.278e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													40.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-8	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.597e-7	3.042e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													40.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-9	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.531e-7	5.209e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													50.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-10	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.590e-7	2.468e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													50.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-11	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.551e-7	5.294e-10			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													50.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-12	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.551e-7	1.998e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													59.99		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-13	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.478e-7	1.530e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													59.99		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-14	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.471e-7	1.565e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													59.99		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-15	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.466e-7	1.164e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													70.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-16	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.444e-7	4.584e-10			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													70.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-17	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.410e-7	9.410e-10			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													70.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-18	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.406e-7	1.668e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													80.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-19	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.382e-7	-4.627e-10			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													80.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-20	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.364e-7	1.928e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													80.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-21	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.347e-7	1.683e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													89.99		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-22	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.340e-7	9.502e-10			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													89.99		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-23	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.331e-7	2.176e-9			2024:06:04:14:45:38.00																			
