>>>>>>>>>>
tab	specimens
contribution_id	row_id	specimen	sample	experiments	volume	weight	igsn	igsn_parent	synthetic_alternatives	result_quality	method_codes	citations	meas_temp	meas_orient_theta	meas_orient_phi	azimuth	dip	critical_temp_type	critical_temp_mineral	critical_temp	critical_temp_low	critical_temp_high	hyst_loop	hyst_ms_mass	hyst_mr_mass	hyst_bcr	hyst_bc	hyst_xhf	mineral_type	description	hyst_bc_offset	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_forward	rem_sratio_back
		A73-7-1350-4B-01a	A73-7-1350-4		0	6.676E-5				g																				Body sherds (2) - Plain						
>>>>>>>>>>
tab	samples
sample	site	azimuth	dip	lat	lon	height	description	contribution_id
A73-7-1350-4	Level 5		90				non-diagnostic - Thin is likely Late Precontact; Thicker sherd likely Middle Woodland (or large vessel)	This study
>>>>>>>>>>
tab	sites
site	location	lat	lon	elevation	description	contribution_id
Level 5	Feature 18		0		87-92 cm	This study
>>>>>>>>>>
tab	locations
location	lat_s	lon_w	lat_n	lon_e	description	contribution_id
Feature 18						This study
>>>>>>>>>>
tab	measurements
contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-36	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													185.137557983398							0.00253093090057373																							7.68490835975893E-8					0.00644203270616884												2093:06:23:05:32:41.299					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-37	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													190.031677246094							0.00253093090057373																							7.2947592872088E-8					0.00635202333304521												2093:06:23:05:33:10.88					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-38	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													195.00163269043							0.00253093090057373																							7.03922470037689E-8					0.00624968510187996												2093:06:23:05:33:40.797					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-39	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													200.021469116211							0.00253093090057373																							6.40187746139788E-8					0.00613186470160613												2093:06:23:05:34:11.448					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-40	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													205.024978637695							0.00253093090057373																							6.66645899837792E-8					0.0060502098469238												2093:06:23:05:34:41.17					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-41	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													210.04914855957							0.00253093090057373																							5.28073161468291E-8					0.00594107762908069												2093:06:23:05:35:11.324					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-42	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													215.048355102539							0.00253093090057373																							6.28679060673765E-8					0.00584701143689513												2093:06:23:05:35:41.629					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-43	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													220.134429931641							0.00253093090057373																							5.60151801858959E-8					0.00575672044993432												2093:06:23:05:36:12.489					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-44	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													225.010330200195							0.00253093090057373																							6.54865601473203E-8					0.00566815035653637												2093:06:23:05:36:41.855					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-45	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													230.039855957031							0.00253093090057373																							5.46470471147881E-8					0.00558328920281263												2093:06:23:05:37:11.873					
