tab	measurements
measurement	experiment	specimen	treat_dc_field	magn_mass	citations	instrument_codes	method_codes	quality	standard	timestamp
BRIC-20cIRM-VSM2-LP-BCR-BF-19810655	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1071	0.005547	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810656	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1141	0.005465	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810657	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1217	0.005378	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810658	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1297	0.005286	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810659	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1383	0.00519	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810660	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1474	0.005088	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810661	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1571	0.004985	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810662	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1673	0.004873	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810663	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1783	0.004753	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810664	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1899	0.004628	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810665	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.2023	0.004493	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810666	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.2155	0.004347	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810667	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.2294	0.004195	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810668	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.2444	0.004025	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810669	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.2603	0.003846	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810670	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.2772	0.00365	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810671	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.295	0.003443	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810672	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.314	0.003231	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
